wavenumber_cm-1,imag_exp_smooth,imag_fit,imag_baseline,residual,component_I / I / L1 Region A free-OH motif,component_VI / VI / L1 Region B connector motif,component_VIII / VIII / L2 positive bonded motif
3300.5,0.22693000000000002,0.21028316266424407,0.15634938684799515,0.01664683733575595,-0.0012361190043405114,-0.043927721938637546,0.09909761675922697
3301.3,0.22563,0.21002160262578232,0.15609762717135742,0.01560839737421768,-0.0012459193661645196,-0.043927721938637546,0.09909761675922697
3302.2,0.22751470588235295,0.2097205628597393,0.15581439753514015,0.017794143022613645,-0.0012637294959902715,-0.043927721938637546,0.09909761675922697
3303.1,0.22780882352941179,0.20942565111037195,0.15553116789892274,0.018383172419039834,-0.0012754116091402126,-0.043927721938637546,0.09909761675922697
3303.9,0.22780529411764708,0.20936295115525871,0.15527940822228503,0.018442342962388364,-0.0012852119709642234,-0.043927721938637546,0.09929647684257545
3304.8,0.2276335294117647,0.20915258661013067,0.15499617858606762,0.018480942801634037,-0.0013029644297162329,-0.043918181075954014,0.09937755352973329
3305.7,0.2224558823529412,0.20893746916972825,0.15471294894985035,0.013518413183212952,-0.0013084771332422334,-0.04384455617661318,0.09937755352973329
3306.5,0.22177529411764707,0.20868597003822661,0.15446118927321262,0.013089324079420456,-0.0013244348123682553,-0.04382833795235103,0.09937755352973329
3307.4,0.21870000000000003,0.208715001874807,0.1541779596369952,0.009984998125193045,-0.0013390441976005882,-0.04378140386482722,0.09965749030023957
3308.3,0.2214970588235294,0.20846926951621322,0.1538947300007778,0.013027789307316184,-0.001353996818739626,-0.04372895396606452,0.09965749030023957
3309.2,0.22061235294117645,0.20817501447294395,0.15361150036456056,0.0124373384682325,-0.0013650222257916306,-0.04372895396606452,0.09965749030023957
3310.0,0.22016176470588233,0.2079826412089369,0.1533597406879228,0.012179123496945443,-0.001380422262841577,-0.043654167516383936,0.09965749030023957
3310.9,0.2149341176470588,0.20794979838981925,0.15307651105170542,0.006984319257239552,-0.0013886975968361967,-0.043568243848740085,0.0998302287836901
