wavenumber_cm-1,imag_exp_smooth,imag_fit,imag_baseline,residual,component_I / L1 Region A free-OH motif,component_II / L1 Region B upward motif,component_III / L1 Region B upward H-bond motif,component_IV / L1 Region B parallel motif,component_V / L1 Region B liquid-oriented motif,component_VI / L1 Region B connector motif,component_VII / L2 negative bonded motif,component_VIII / L2 positive bonded motif
3400.07,-0.04223686470588235,-0.04684435604172346,-0.04147345133530764,0.00460749133584111,-0.002971913477068046,0.01842722058964553,0.0,0.0,-0.0,-0.0,-0.0,0.0
3400.95,-0.04202014705882353,-0.04662179869165586,-0.041412053098837595,0.0046016516328323265,-0.0029603042583294954,0.01853066515885655,0.0,0.0,-0.0,-0.0,-0.0,0.0
3401.83,-0.04185072941176471,-0.046299447873134114,-0.04135065486236752,0.004448718461369405,-0.0029401491847411976,0.018725357341671904,0.0,0.0,-0.0,-0.0,-0.0,0.0
3402.71,-0.04179172941176471,-0.04607816232893185,-0.04128925662589744,0.004286432917167141,-0.002927768342637626,0.018826758481652505,0.0,0.0,-0.0,-0.0,-0.0,0.0
3403.59,-0.041886094117647064,-0.04584184223606978,-0.041227858389427365,0.003955748118422718,-0.0029137515616125672,0.01894155823137142,0.0,0.0,-0.0,-0.0,-0.0,0.0
3404.47,-0.04214452941176472,-0.04555006836040244,-0.04116646015295732,0.0034055389486377236,-0.0028937007450013583,0.019105777728309518,0.0,0.0,-0.0,-0.0,-0.0,0.0
3405.35,-0.042540829411764715,-0.045349950572097425,-0.04110506191648724,0.00280912116033271,-0.002883623208207206,0.019188314417702294,0.0,0.0,-0.0,-0.0,-0.0,0.0
3406.23,-0.04301652941176471,-0.04509150458451372,-0.04104366368001717,0.0020749751727490093,-0.0028671988648956504,0.01932283249985634,0.0,0.0,-0.0,-0.0,-0.0,0.0
3407.11,-0.04349440000000001,-0.0447985748554955,-0.040982265443547085,0.0013041748554954921,-0.002833131267259373,0.019474191069120197,0.0,0.0,-0.0,-0.0,-0.0,0.0
3407.99,-0.04389731176470588,-0.04458187905121244,-0.04092086720707704,0.0006845672865065586,-0.002818609287704826,0.019568861331730674,0.0,0.0,-0.0,-0.0,-0.0,0.0
3408.88,-0.04416698235294118,-0.044372353003492467,-0.04085877126337434,0.00020537065055128978,-0.0028065046092036047,0.0196575575074436,0.0,0.0,-0.0,-0.0,-0.0,0.0
3409.76,-0.044277176470588236,-0.044134645448595744,-0.04079737302690426,-0.00014253102199249246,-0.0027863495356153073,0.01976760642663393,0.0,0.0,-0.0,-0.0,-0.0,0.0
3410.64,-0.04423775882352941,-0.04392735714051613,-0.04073597479043421,-0.00031040168301328663,-0.002774349635810833,0.019855391272791043,0.0,0.0,-0.0,-0.0,-0.0,0.0
3411.52,-0.04408931176470589,-0.04372607313949474,-0.040674576553964135,-0.0003632386252111486,-0.002751311539426696,0.019926133615310194,0.0,0.0,-0.0,-0.0,-0.0,0.0
