wavenumber_cm-1,imag_exp_smooth,imag_fit,imag_baseline,residual,component_I / L1 Region A free-OH motif,component_II / L1 Region B upward motif,component_III / L1 Region B upward H-bond motif,component_IV / L1 Region B parallel motif,component_V / L1 Region B liquid-oriented motif,component_VI / L1 Region B connector motif,component_VII / L2 negative bonded motif,component_VIII / L2 positive bonded motif
3300.47,-0.05144247647058823,-0.01999533089882944,-0.0385770713409004,-0.03144714557175879,0.00022530002523396534,-0.00585779151405804,0.0,0.0,0.0,0.022836182728077664,0.0,-0.0005139086867600953
3301.33,-0.050269658823529406,-0.02027520791772792,-0.038541893796113474,-0.029994450905801485,0.00022645040461191448,-0.006092749535264999,0.0,0.0,0.0,0.022756585131419656,0.0,-0.000515745443970008
3302.2,-0.04854521176470588,-0.020408152821359948,-0.03850630721010811,-0.028137058943345932,0.00022645040461191448,-0.006218044514446462,0.0,0.0,0.0,0.02271413848854733,0.0,-0.0005167249230071364
3303.07,-0.04640051176470588,-0.02061485258458352,-0.038470720624102714,-0.02578565918012236,0.00022735620623036212,-0.006387976082838926,0.0,0.0,0.0,0.02264235865521887,0.0,-0.0005183952835871452
3303.94,-0.04397898823529412,-0.020805527167531566,-0.03843513403809735,-0.023173461067762555,0.00022755660351592345,-0.006599857449984738,0.0,0.0,0.0,0.022629245202802684,0.0,-0.0005200516417176405
3304.81,-0.04141618235294118,-0.02093782340964084,-0.038399547452091974,-0.02047835894330034,0.0002282052650386742,-0.006725152429166202,0.0,0.0,0.0,0.022586798559930357,0.0,-0.000521031120754769
3305.68,-0.03882378235294118,-0.02121096916239974,-0.03836396086608661,-0.017612813190541438,0.00022854004365559176,-0.006951355690745798,0.0,0.0,0.0,0.022505618369094146,0.0,-0.000522904397173668
3306.54,-0.036278141176470595,-0.021478225281192285,-0.03832878332129968,-0.01479991589527831,0.00022916780946725745,-0.007168750609982638,0.0,0.0,0.0,0.022421700868243095,0.0,-0.0005248408384884514
3307.41,-0.033814464705882355,-0.02160908162255905,-0.038293196735294306,-0.012205383083323303,0.0002296908929181306,-0.007318302156494976,0.0,0.0,0.0,0.02240526589443124,0.0,-0.0005260099404407877
3308.28,-0.031428045882352935,-0.0217600886676901,-0.03825761014928892,-0.009667957214662834,0.00023007361108570514,-0.007469281846408935,0.0,0.0,0.0,0.022370460677147597,0.0,-0.0005273909940007187
3309.15,-0.029082802352941174,-0.02204139980217403,-0.038222023563283546,-0.007041402550767146,0.00023008241434518446,-0.007700115092033253,0.0,0.0,0.0,0.022286143452720196,0.0,-0.0005293366591512918
3310.02,-0.02672531470588235,-0.022173696044283295,-0.03818643697727818,-0.004551618661599054,0.00023073107586793522,-0.007825410071214714,0.0,0.0,0.0,0.02224369680984787,0.0,-0.0005303161381884202
3310.89,-0.024300621235294115,-0.02231946415451326,-0.038150850391272806,-0.001981157080780855,0.00023097941270415278,-0.007989368260333604,0.0,0.0,0.0,0.02222744632384051,0.0,-0.0005319001075872413
3311.76,-0.021765949470588235,-0.022572001276694443,-0.03811526380526742,0.0008060518061062082,0.00023112259729498905,-0.008207223006752992,0.0,0.0,0.0,0.022158803524103224,0.0,-0.0005338590656614992
3312.63,-0.01909985770588235,-0.02270527699784086,-0.038079677219262045,0.003605419291958508,0.00023177125881773978,-0.008332517985934455,0.0,0.0,0.0,0.022116356881230894,0.0,-0.0005358180237357562
3313.49,-0.016306204764705883,-0.02292042169555906,-0.03804449967447514,0.006614216930853178,0.00023188521432260045,-0.008514475046660077,0.0,0.0,0.0,0.02204962675324979,0.0,-0.0005377544650505375
3314.36,-0.013413837705882349,-0.023089651860198023,-0.03800891308846975,0.009675814154315674,0.00023188521432260045,-0.008699847185366967,0.0,0.0,0.0,0.022031951487933066,0.0,-0.0005397134231247954
3315.23,-0.01047338476470588,-0.023194509421859893,-0.03797332650246438,0.012721124657154012,0.00023191115421644892,-0.008796950001427137,0.0,0.0,0.0,0.021990353563052883,0.0,-0.0005416723811990523
3316.1,-0.007552390647058821,-0.023437719810645515,-0.03793773991645901,0.015885329163586693,0.00023279101594104808,-0.00904753995979,0.0,0.0,0.0,0.02196303603152089,0.0,-0.0005436313392733089
3316.97,-0.004729767117647058,-0.023615252934159777,-0.03790215333045364,0.01888548581651272,0.00023279101594104808,-0.009200465850484129,0.0,0.0,0.0,0.02190461155931612,0.0,-0.0005455902973475654
3317.84,-0.0020899082941176475,-0.023743789135505042,-0.03786656674444825,0.021653880841387394,0.00023279101594104808,-0.009330014914556988,0.0,0.0,0.0,0.021871807182659065,0.0,-0.0005475492554218234
